	126960	a
	9822	a2
	18033	ab
	1509	ab2
	2	aba
	3	abba2
	3	abgal
	6	absin3
	27	abul
	931	abzu
	3113	ad
	28	ad2
	7	ad3
	19	ad6
	6	ad7
	40	adab
	4	adad
	177	ag
	2708	ag2
	63	aga
	2333	aga3
	3	agar2
	168	agar4
	66	agrig
	4	agrun
	912	ah
	1	ah6
	3014	ak
	1	aka
	1	akan
	4	akszak
	7	akszak2
	2	aktum
	5690	al
	1	al3
	9	alal
	1	alam
	8	alamusz
	52	alan
	1931	alim
	4	alla
	2231	am
	8321	am3
	2	am4
	9	am6
	1132	ama
	5	ama5
	4	ama6
	7811	amar
	40	amasz
	218	ambar
	15	amusz
	21458	an
	441	ansze
	34	anzu
	127	anzu2
	218	ap
	971	apin
	19	aq
	2746	ar
	2	ar2
	2122	ar3
	1	arad
	4	arad2
	1	aratta
	29	arhusz
	12	as
	1	as2
	7	asal
	29	asal2
	119	asar
	3	asila3
	6314	asz
	1	asz10
	2388	asz2
	66	asz3
	3	asz7
	1	asz8
	195	aszgab
	106	aszgi
	296	asznan
	1352	at
	113	az
	1	az2
	7	azlag
	225	azlag2
	2	azlag5
	2	azlag7
	135484	ba
	6	ba2
	3	ba3
	26	ba4
	9854	ba6
	2	ba7
	1	baad
	3590	babbar
	552	babbar2
	44	babila
	6	babila2
	66	bad
	1203	bad3
	32	bahar2
	63	bahar3
	1	bal
	5103	bala
	110	balag
	20	ban
	4	ban3
	1	banada3
	1	banda
	6186	banda3
	37	banszur
	95	bappir
	52	bappir2
	10092	bar
	4	bar7
	543	bara2
	8	bara3
	1	bara4
	1	bat
	4	bat3
	48	bat5
	1371	be
	314	be2
	81	be6
	1	be7
	35056	bi
	13125	bi2
	8	bi3
	186	bil
	206	bil2
	229	bil3
	20	bil4
	52	bir
	3	bir2
	4	bir3
	11	bir4
	6	bir5
	4403	bu
	9	bu10
	5	bu13
	3	bu2
	1565	bu3
	224	bu7
	1	bua
	6	bugin
	45	bul
	106	bul5
	3	bulug
	82	bulug3
	11	bulug4
	128	bum2
	5	bun
	14	bun2
	798	bur
	155	bur2
	20	bur3
	3	buranun
	134	buru14
	5	buru5
	47821	da
	1	da2
	3140	da3
	54	da5
	119	da6
	435	dab
	14158	dab5
	66	dab6
	70	dabin
	18	dadag
	287	dag
	1	dag2
	1	dag3
	162	dagal
	587	dah
	204	dal
	231	dalla
	4598	dam
	808	dan
	11	dan3
	16	dan6
	4	danna
	2941	dar
	2	dar3
	3	dar4
	1	dara
	45	dara2
	856	dara3
	714	dara4
	12	de
	2139	de2
	3260	de3
	1	de4
	1013	de6
	36	de9
	1	den
	1379	di
	1	di11
	24	di2
	1353	di3
	54	di4
	4	dib
	12	dida
	312	didli
	1	digir
	5	dih3
	2	dili
	19	dili2
	7	dilmun
	80	dim
	3567	dim2
	31	dim3
	30	dim4
	537	din
	10579	dingir
	1	dir
	772	diri
	28	disz
	2	dsuen
	11786	du
	7169	du10
	8583	du11
	49	du12
	76	du2
	12431	du3
	846	du5
	1646	du6
	1783	du7
	6628	du8
	27004	dub
	96	dub2
	71	dug
	3	dugud
	539	duh
	4	dul
	516	dul3
	28	dul4
	369	dul5
	156	dul9
	67	dum
	11007	dumu
	993	dun
	1	dun4
	174	dur
	5	dur10
	395	dur2
	326	dur3
	55	dur9
	959	duru5
	6	dusu
	627	dusu2
	24751	e
	1	e`
	2281	e11
	24916	e2
	10058	e3
	1214	eb
	266	eb2
	11	ebih
	3	ebih2
	3	ed
	1149	edin
	39	egi
	1	egi2
	109	egir
	1	egir2
	1	egir3
	3	egir4
	5	egir5
	6	eh
	19	el
	3	el2
	3	el4
	111	elam
	2	ellag2
	45	em
	195	eme
	2	eme2
	75	eme3
	5	eme5
	140	eme6
	4	emeda
	1	emerah
	22423	en
	2	en2
	205	en3
	156	en6
	59	en8
	868	engar
	34	engur
	54	enku
	4	ensi
	2526	ensi2
	89	ep
	5	eq
	1075	er
	1	er10
	20	er11
	151	er2
	2076	er3
	1	eresz
	118	eri11
	198	eridu
	539	erim2
	2	erim4
	206	erin
	1554	erin2
	6	erisz
	3	es
	4	es2
	141	es3
	3	esi
	3	esir
	142	esir2
	2007	esz
	1724	esz18
	1333	esz2
	2851	esz3
	15	esz4
	945	esz5
	49	esz8
	53	esza
	4	esztub
	2	et
	1	eur
	1	ez
	15487	ezem
	1	ezemli9
	2	ezen
	2	ezina2
	51369	ga
	1	ga14
	11059	ga2
	1074	ga6
	4	gab
	1048	gab2
	5	gab3
	3349	gaba
	2	gabar
	1299	gada
	135	gag
	6	gagia
	21686	gal
	10803	gal2
	1	gal4
	98	gal5
	196	gala
	3	galam
	334	gam
	4	gam2
	2	gam3
	4	gamun2
	2871	gan
	7	gan2
	13	ganun
	4672	gar
	3471	gar3
	8	gar5
	4	gar8
	885	gara2
	1	garasz
	47	garig2
	117	gaszam
	311	gaz
	300	gazi
	2630	ge
	340	ge2
	25	ge26
	180	ge4
	4	ge5
	1609	ge6
	4	ge9
	3625	geme2
	3341	gen
	12157	gesz
	157	gesz2
	5	geszbu2
	9	geszbun2
	43	geszimmar
	192	geszkim
	1	gesznu2
	710	gesztin
	38	gesztu
	2	gesztu2
	20556	gi
	5960	gi4
	291	gi5
	885	gi7
	32	gi8
	418	gibil
	268	gibil4
	28	gibil6
	1	gid
	4772	gid2
	3	gidlam4
	10	gidri
	173	gig
	3559	gigir
	8	gigir2
	99	gil
	28	gilgames3
	3	gim
	2	gim6
	1	gin
	1374	gin2
	199	gin3
	716	gin7
	242	gir
	6	gir11
	158	gir13
	36	gir16
	4729	gir2
	464	GIR2@g
	67	gir4
	16	gir5
	1	GIR@g
	1	giri11
	5	giri16
	1422	giri17
	2593	giri3
	1	girim
	13	girim2
	41	gissu
	2	gisz
	1	giszimmar
	1	giz
	16967	gu
	1	gu10
	5267	gu2
	1261	gu3
	10896	gu4
	200	gu5
	6232	gu7
	7100	gub
	2	gub2
	42	gub3
	1	gubala
	194	gubalag
	1	gubla
	1	gublag
	5	gublaga
	81	gudu4
	35	gug
	41	gug2
	58	gug4
	76	gukkal
	1	gukkan
	762	gul
	20	gum
	221	gum2
	3	gum3
	1	gun
	473	gun3
	35	gun4
	1720	gur
	415	gur10
	926	gur11
	2	gur16
	3441	gur2
	1	gur22
	196	gur3
	435	gur4
	60	gur5
	3433	gur8
	14	gurdub
	16	gurdub2
	1	guru5
	1219	guru7
	193	gurum2
	548	gurusz
	2190	guz
	134	guzza
	8644	ha
	1	hab
	247	hab2
	11	had
	53	had2
	442	hal
	781	har
	22	hara4
	1	hasz
	23	haszhur
	4	hat
	211	he
	3703	he2
	463	hendur
	5584	hi
	35	hir
	12016	hu
	1	hub
	20	hub2
	21198	hul
	111	hul2
	95	hul3
	108	hum
	11544	hun
	1359	hur
	547	husz
	2	husz2
	6457	i
	18	i2
	38636	i3
	15	i5
	1179	i7
	22	ia
	2	ia2
	7404	ia3
	864	ib
	1730	ib2
	21	ibila
	4645	id
	1	id2
	79	idigna
	69	idim
	2233	ig
	5636	igi
	45	ih
	400	ik
	432	il
	1381	il2
	7	il3
	21	il6
	14	il8
	1	ilar
	3	ildu
	1	ildu2
	95	ildu3
	1313	illat
	3	illu
	1	ilum
	5205	im
	3	imgaga3
	36	imin
	9	imma
	8	imma3
	7227	in
	1	In
	1	in3
	13	in4
	1578	inanna
	4313	inim
	3	inszuszinak
	539	ip
	3	ip2
	1034	iq
	832	ir
	7	ir3
	1	ir7
	1	ir9
	4212	iri
	159	is
	1	iš
	17	is2
	186	isin2
	1694	isz
	3	isz11
	73	iszib
	3984	iszkur
	1736	isztaran
	93	it
	3198	iti
	125	iz
	16	izi
	15619	ka
	78	ka2
	127	ka3
	918	ka5
	2115	ka9
	656	kab
	957	kab2
	7	kad2
	9	kad4
	6	kad5
	3	kadra
	59	kak
	21988	kal
	107	kal2
	1	kal3
	3	kala
	337	kalam
	36979	kam
	133	kan2
	3477	kar
	978	kar2
	4	kar3
	1	karadin3
	7	karadin5
	17	karkar
	10	kas
	28	kas3
	886	kas4
	831	kaskal
	542	kasz
	2	ke
	322	ke3
	8390	ke4
	737	kesz2
	19	kesz3
	28895	ki
	1	ki2
	44	kid
	4	kid2
	18	kid7
	712	kikken
	406	kikken2
	5	kilib
	2	kilib3
	8	kilim
	3154	kin
	68	kin2
	2	kinda
	6	kinda2
	91	kir11
	1114	kiri6
	423	kisal
	6	kisig2
	1	kisim5
	1	kislah
	49	kisz
	215	kiszi17
	2	kiszi4
	1713	kiszib3
	2961	ku
	16505	ku3
	773	ku4
	8708	ku5
	1011	ku6
	143	ku8
	2	kuara
	6	kuara2
	13	kukku2
	219	kul
	32	kul2
	121	kum
	38	kum2
	1055	kun
	1	kun2
	3	kun5
	2	kunga
	287	kunga2
	517	kup4
	1460	kur
	205	kur2
	2	kur3
	8	kur6
	1	kurun
	218	kuruszda
	141	kusz
	273	kusz2
	568	kusz3
	36791	la
	21256	la2
	2	lag
	27	lagab
	1341	lagar
	383	lagasz
	25	lah
	7	lah3
	17	lah4
	1113	lah5
	74	lah6
	18	lahtan2
	1	lahtan4
	28	lak
	2	lal2
	1359	lal3
	1480	lam
	2732	lam2
	1	lam3
	3319	lamma
	6	larsa
	752	le
	17	le2
	4836	li
	9546	li2
	3504	li9
	6	lib
	685	libir
	1	ligal
	310	lik
	61	lil
	12737	lil2
	640	lim
	18	limmu
	3479	limmu2
	3	limmu5
	5	liru3
	4	lisz
	5044	lu
	45754	lu2
	1	Lu2
	4338	lu5
	36986	lugal
	1	lugud
	75	lugud2
	675	luh
	47	lukur
	44	lul
	166	lulim
	8960	lum
	144	lunga
	3	lunga2
	20	lunga3
	48118	ma
	7343	ma2
	13083	mah
	1551	mah2
	7	mal
	3	man
	15	mangaga
	6540	mar
	121	mar2
	1	marad
	1	marad2
	1	marduk
	155	mas
	11592	masz
	7699	masz2
	93	maszkim
	5	mat
	1	maz
	15776	me
	4	me2
	95	me3
	7	men
	7	mer
	3826	mes
	2	mes2
	2889	mi
	20	mi2
	8	mid
	1	milla
	1314	min
	235	min3
	2	min6
	1	min8
	2	mir
	41093	mu
	196	mu10
	46	mu13
	1421	mu2
	4	mu3
	4	mu4
	98	mu6
	2	mu7
	1	mu9
	10	mud
	3	mud3
	1	mud5
	116	mudra5
	367	mug
	4	muh2
	1958	muhaldim
	102	mul
	406	mun
	18	munu3
	1149	munu4
	5	munu6
	2058	munus
	655	mur
	5	mur7
	7	murgu
	141	murgu2
	81	muru13
	1	muru2
	1	murub
	1	mus
	2	mussa
	862	musz
	6	musz2
	14	musz3
	357	muszen
	444	n
	58788	na
	17	na2
	68	na4
	2	na5
	30	na8
	6	nab
	11	nab3
	596	nag
	52	nag4
	190	naga
	18	naga3
	209	nagar
	8	nagga
	5376	nam
	653	nam2
	744	namma
	6	nanga
	4	nanga2
	1	nangara
	32	nanibgal
	1	nanibgal2
	5385	nanna
	2897	nansze
	256	nar
	6458	ne
	2283	ne2
	117	ne3
	1	nen
	131	ner
	63	nerah
	5	nergal
	1179	nesag
	3	nesag2
	1	nesag3
	26744	ni
	1	ni11
	300	ni2
	2	ni9
	1226	nibru
	78	nida
	58	nidba
	4	nidba2
	4	nig
	15238	nig2
	177	niga
	5419	nigar
	281	nigin
	1868	nigin2
	1	nigin4
	357	nigin6
	7	nigin8
	4	nigin9
	1	nihur
	182	nim
	759	nimgir
	13	nimin
	29600	nin
	122	nin10
	408	nin9
	649	ninda
	5	ninda2
	4	ninni5
	447	ninnu
	1705	nir
	4	nir2
	1	nir3
	5	nir7
	450	nisaba
	24	nisi
	163	nita
	5510	nita2
	3	nita3
	19687	nu
	12	nu11
	435	nu2
	17	num
	3652	num2
	3936	numun
	7024	nun
	1	nundum
	40	nunuz
	115	nusku
	5536	pa
	329	pa2
	3821	pa3
	1289	pa4
	148	pa5
	24	pad
	2	palil
	71	palil2
	3	pan
	12	pap
	1	par2
	25	par3
	913	par4
	2	pazur5
	66	pe
	6	pel2
	169	pesz
	156	pesz2
	9	pesz3
	84	pesz5
	1	pesz6
	189	pi
	109	pi2
	818	pi4
	141	pi5
	5	pil
	1	pil2
	13	pil3
	247	pirig
	20	pirig3
	835	pisan
	2	pisz
	441	pu
	174	pu2
	151	pu3
	1	pu5
	4438	puzur4
	5	qa
	82	qa2
	1	qa3
	1	qab
	1	qab2
	1125	qar
	1	qar3
	2	qe2
	16	qi2
	112	qi3
	1	qi4
	49	qir
	3	qu
	419	qu2
	7	qu3
	25	qum
	1	qum2
	48	qur
	18	qur2
	4	qur8
	38056	ra
	8781	ra2
	1	rad
	1	rasz
	5098	re
	16	re2
	162	re6
	1	reb
	8253	ri
	2154	ri2
	1	rid
	124	rig2
	2	rig5
	258	rig7
	3	rig8
	1	rim
	186	rim3
	7	rim4
	11	rin
	7	rin2
	1	riq2
	10743	ru
	2358	ru2
	2	ru6
	1	rug
	808	rum
	3	rum2
	1	s
	17654	sa
	1376	sa10
	1001	sa12
	5572	sa2
	228	sa3
	2	sa4
	17637	sa6
	27	sab
	6869	sag
	5010	sag11
	3	sag2
	127	sag3
	4	sag5
	2687	saga
	25	sagdu
	81	sagi
	2	sah7
	995	sahar
	584	sakar
	261	sal
	1425	sal4
	37	saman3
	19	saman4
	167	sanga
	1	saq
	24179	sar
	1	sara2
	1	saz13
	583	se
	41	se11
	1	se12
	28	se2
	1110	se3
	3	selu
	1230	ses
	13730	si
	1	si11
	1070	si2
	3602	si4
	312	sig
	319	sig15
	1250	sig17
	1	sig2
	1204	sig4
	1	sig5
	25	sig7
	3625	siki
	376	sikil
	1	sikioz
	2	sil
	8	sil2
	502	sila
	2583	sila3
	582	sila4
	6	silig
	702	silim
	267	sim
	90	simug
	246	sin2
	1	sip
	654	sipa
	1	sir
	254	sir2
	21	sir3
	5	sir5
	3	sirara3
	31	sirara6
	5	siskur
	361	siskur2
	1	sizkur2
	12888	su
	15	su11
	26	su13
	2	su18
	413	su2
	748	su3
	675	su4
	64	su6
	1665	su7
	4	su8
	1	sub
	97	sub3
	6	sub6
	1	sud
	3	sud2
	23	sud3
	1	suem
	23872	suen
	1	Suen
	9	sug
	206	suh
	11	suh3
	4	suh4
	559	suh5
	36	suh6
	156	suhub2
	55	suhur
	227	suhusz
	1	suhusz3
	1935	sukkal
	58	sukud
	1	suluhu
	2	suluhu2
	15	sum
	1	sumu
	116	sumun
	98	sumur
	668	sun2
	783	sur
	93	sur2
	24	sur3
	2	sur5
	1	susz3
	12005	sza
	1013	sza13
	1	sza2
	28344	sza3
	84	sza4
	1	sza5
	576	szabra
	10	szaga
	60	szagina
	1127	szah2
	9	szakir
	125	szakkan
	149	szakkan2
	2	szakkan6
	10	szal
	60	szal2
	1	szaman2
	1	szaman4
	2	szamasz
	64	szandana
	1861	szar
	811	szar2
	11	szar3
	2	szara
	10584	szara2
	19875	sze
	3	sze12
	3	sze2
	4	sze20
	1	sze23
	2	sze29
	39538	sze3
	1	sze3@90
	414	sze6
	2	szed12
	1	szeg14
	1	szeg3
	452	szeg9
	17	szem5
	244	szen
	16	szer3
	371	szer7
	7501	szesz
	3	szesz2
	46	szesz4
	1	szez
	3568	szi
	20	szi2
	147	szid
	1	szid2
	1	szika
	589	szim
	12	szimaszgi
	6	szimaszgi2
	1	szimaszki
	35	szinig
	4	szip
	33	szir
	3	szit
	42	szita
	2	szita2
	1	szita3
	8	szita4
	25	sziti
	174	szitim
	33400	szu
	16	szu12
	658	szu2
	117	szu4
	1	szu7
	1027	szub
	27	szuba
	62	szuba2
	212	szuba3
	1	szubara
	3236	szubur
	4	szud3
	2	szudul4
	6	szudul5
	911	szuku
	12	szukur
	14501	szul
	520	szum
	2823	szum2
	23	szunigin
	28	szunigin2
	8	szur
	35	szur2
	3	szur3
	1	szur4
	13	szur5
	7	szur6
	27	szuruppak
	1	szusuen
	373	szusz3
	1170	szuszin
	15	szutum2
	82985	ta
	1681	ta2
	5	ta3
	2673	tab
	730	tag
	3	tag4
	85	tah
	41	tak2
	775	tak4
	1	taka4
	345	tal
	1	tal2
	913	tam
	25	tam2
	2	tan
	1	tap
	1505	tar
	1	tar2
	4	taskarin
	2	tasz
	851	te
	2	te9
	292	temen
	1	ten
	1	ter
	154	tesz2
	24497	ti
	226	ti2
	29	ti3
	3	ti4
	20	tib
	6	tibir
	42	tibira
	1	tigi2
	457	til
	1	tilla
	6	tilla2
	58	tilla3
	33	tilla5
	1	tillat
	58	tim
	13	tin
	1	tip
	363	tir
	14	tiszpak
	2	titab2
	9037	tu
	2	tu10
	2	tu11
	5	tu17
	19	tu2
	36	tu3
	266	tu5
	13	tu6
	63	tu7
	2	tub
	1415	tug2
	2	tuh
	3	tuk4
	1408	tuku
	1	tuku4
	116	tuku5
	857	tukul
	258	tukum
	2	tukumbi
	4	tukur2
	6	tul
	533	tul2
	5423	tum
	511	tum2
	638	tum3
	1	TUM@s
	1	tun3
	2	tup
	4028	tur
	31	tur2
	185	tur3
	931	tusz
	1150	u
	1	u11
	501	u18
	1	u19
	7565	u2
	3819	u3
	2117	u4
	1437	u5
	60	u6
	167	u8
	24	u9
	4121	ub
	148	ub2
	283	ub3
	22	ub5
	2	ubara
	3	ubi
	15	ubur
	5	ubur3
	72	ud
	574	ud5
